Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1979,64014,64119,64144,64191,64326,64363,64347,64291,64189,64145,63729,63098
1980,62673,62172,61895,61666,61796,61736,61908,62285,62406,62635,62777,63072
1981,63537,63836,64062,64307,64340,64413,64554,64697,64921,64877,65164,65373
1982,65636,65932,66341,66654,66957,67281,67537,67746,68129,68331,68658,68870
1983,68984,69277,69730,70366,70675,71099,71304,71590,71799,72096,72497,72762
1984,72873,73107,73524,73441,73801,74064,74065,74068,74197,74346,74403,74493
1985,74601,74656,74698,74267,73965,73658,73419,73687,73880,74105,74357,74570
1986,74677,74759,74918,75023,75095,75331,75427,75456,75448,75311,75093,74820
1987,74526,74551,74408,74142,74104,73848,73632,73434,73260,72950,72806,72788
1988,72970,72914,73085,73376,73638,74002,74429,74116,75205,75532,75874,76219
1989,76663,77129,77399,77717,77997,78352,78620,78810,79089,79356,79668,79825
1990,80037,80148,80448,80609,80839,80961,81029,81223,81407,81579,81768,81915
1991,82019,82082,82180,82357,82459,82376,82694,82787,83024,83151,83301,83490
1992,83638,83879,84100,84393,84616,84776,85087,85246,85511,85869,86071,86317
1993,86393,86822,87040,87280,87480,87809,88052,88126,88375,88607,88870,89170
1994,89394,89614,89797,89952,90034,90114,90161,90126,90338,90443,90696,90774
1995,91033,91255,91353,91310,91240,91306,91274,91156,91088,90923,90766,90692
1996,90566,90253,90089,89881,89743,89777,89704,89741,89797,89763,89672,89683
1997,89689,89625,89653,89788,89901,89959,89972,90047,90137,90318,90443,90617
1998,90904,91145,91091,91368,91622,91785,91992,92184,92410,92695,92931,93202
1999,93436,93633,94058,94374,94667,94973,95324,95596,95917,96123,96520,96774
2000,97091,97284,97486,97641,97641,97849,97959,98215,98456,98576,98726,98856
2001,98853,99249,99469,99650,99957,100246,100483,100698,100860,101123,101410,101575
2002,101788,102086,102392,102689,102950,103158,103445,103475,103925,104207,104490,104788
2003,105060,105240,105385,105640,105987,106201,106274,106592,106789,106971,107210,107522
2004,107642,107993,108076,108383,108602,108820,109072,109202,109387,109734,109987,110238
2005,110438,110540,110873,111091,110972,111185,111384,111399,111636,111613,111821,111919
2006,111861,111861,111797,111468,111393,111154,110994,110801,110536,110178,109833,109633
2007,109472,109325,109264,109172,109093,109114,109035,108974,108957,109069,109057,108893
2008,108946,108797,108601,108572,108590,108560,108557,108591,108746,108888,108928,109040
2009,109208,109242,109535,109757,110065,110152,110180,110292,110445,110769,110797,110925
2010,111017,111247,111386,111735,111884,112145,112426,112616,112700,112800,113107,113245
2011,113554,113838,114094,114260,114277,114358,114513,114660,114745,114762,114956,115123
2012,115353,115405,115575,115627,115754,115811,115813,115741,115774,115839,115919,115974
2013,115977,115861,115756,115536,115320,115114,114853,114595,114173,113685,112909,112217
2014,111398,110698,109890,109089,108794,108368,108098,107865,107724,107450,107435,107203
2015,107226,107173,107292,107488,107579,107705,107812,107922,108046,108244,108375,108485
2016,108562,108780,109005,109335,109495,109681,109871,110008,110295,110461,110635,110881
2017,111262,111511,111729,111839,111961,112017,112171,112331,112495,112735,112921,113196
2018,113416,113713,113852,114046,114271,114443,114605,114818,114986,115221,115524,115648
2019,115831,116006,116229,116542,116780,117052,117295,117504,117739,117957,118371,118690
